customer_id,campaign_id,amount,sale_date
1,1,80,2020-03-02T00:00:00.000Z
1,2,20,2020-03-02T00:00:00.000Z
1,3,120,2020-03-02T00:00:00.000Z
1,2,80,2020-01-02T00:00:00.000Z
1,1,200,2020-01-02T00:00:00.000Z
1,5,40,2020-01-02T00:00:00.000Z
2,1,40,2020-03-01T00:00:00.000Z
2,9,20,2020-03-01T00:00:00.000Z
3,1,80,2020-01-01T00:00:00.000Z
3,7,20,2020-03-01T00:00:00.000Z
3,8,20,2020-03-01T00:00:00.000Z
4,10,40,2020-03-01T00:00:00.000Z
4,12,60,2020-03-01T00:00:00.000Z
8,18,20,2020-03-01T00:00:00.000Z
3405,5,160,2025-09-22
3405,2,80,2025-09-22
4338,1,200,2024-06-06
3029,3,20,2024-09-18
3029,9,40,2024-09-18
4556,2,180,2023-10-15
4556,19,60,2023-10-15
2822,20,60,2025-07-22
2822,7,120,2025-07-22
2804,3,20,2025-05-07
2804,7,180,2025-05-07
2804,19,200,2025-05-07
2788,9,160,2025-01-22
2788,9,60,2025-01-22
3271,4,160,2023-12-11
3271,18,180,2023-12-11
703,6,120,2024-04-27
703,16,100,2024-04-27
3387,1,200,2023-12-14
4226,18,40,2024-03-19
4226,11,200,2024-03-19
4226,8,160,2024-03-19
4226,18,200,2024-03-19
4226,8,40,2024-03-19
2574,18,60,2024-07-07
1475,16,160,2025-08-02
2916,10,200,2025-09-05
2916,20,80,2025-09-05
2916,9,80,2025-09-05
4153,6,20,2025-05-21
4153,4,60,2025-05-21
4153,8,200,2025-05-21
4750,7,160,2024-05-27
4750,1,40,2024-05-27
3400,1,20,2024-07-22
3400,10,100,2024-07-22
3400,16,160,2024-07-22
3400,18,200,2024-07-22
3400,5,40,2024-07-22
2744,9,80,2025-06-20
2744,14,160,2025-06-20
3863,7,80,2024-02-12
3863,1,40,2024-02-12
3863,6,180,2024-02-12
4945,9,20,2024-01-09
4945,18,60,2024-01-09
4945,1,180,2024-01-09
4945,15,160,2024-01-09
1975,5,20,2025-02-26
1975,10,100,2025-02-26
2135,17,200,2024-09-01
2135,9,60,2024-09-01
2135,6,60,2024-09-01
2135,4,40,2024-09-01
2135,19,180,2024-09-01
1182,12,40,2024-08-12
1182,7,40,2024-08-12
1182,16,20,2024-08-12
1182,17,40,2024-08-12
4457,1,60,2025-02-10
337,7,140,2024-05-05
337,9,80,2024-05-05
337,12,80,2024-05-05
337,5,20,2024-05-05
4796,1,160,2025-06-19
4796,19,200,2025-06-19
2801,15,60,2024-01-03
2801,11,140,2024-01-03
2801,5,140,2024-01-03
2801,9,180,2024-01-03
2801,6,120,2024-01-03
4441,14,80,2024-01-24
4441,17,160,2024-01-24
4441,3,160,2024-01-24
4441,1,20,2024-01-24
4441,2,200,2024-01-24
1311,1,200,2024-04-29
1311,13,80,2024-04-29
4684,16,160,2024-04-19
4684,16,20,2024-04-19
4305,16,100,2025-03-17
4305,14,120,2025-03-17
4305,11,60,2025-03-17
4305,8,200,2025-03-17
3741,13,160,2023-12-04
3741,10,20,2023-12-04
4741,14,60,2025-01-01
4741,15,40,2025-01-01
4741,20,100,2025-01-01
4741,14,100,2025-01-01
271,6,140,2025-06-23
21,13,200,2025-05-11
3112,3,120,2024-08-11
3112,6,20,2024-08-11
3112,9,180,2024-08-11
3112,16,200,2024-08-11
3112,13,180,2024-08-11
3397,11,80,2025-09-08
3397,9,180,2025-09-08
389,5,120,2024-11-10
389,17,140,2024-11-10
389,9,180,2024-11-10
389,9,180,2024-11-10
2756,3,100,2025-09-24
2756,17,100,2025-09-24
1563,13,80,2025-08-18
1563,19,20,2025-08-18
1563,12,60,2025-08-18
2084,20,20,2024-02-03
2084,12,80,2024-02-03
2084,2,20,2024-02-03
2084,20,140,2024-02-03
1231,12,200,2025-10-01
1231,20,80,2025-10-01
1231,7,20,2025-10-01
1231,14,60,2025-10-01
2032,12,160,2023-11-22
2237,15,40,2025-09-22
2237,20,180,2025-09-22
4944,10,180,2023-12-10
1665,2,180,2024-01-30
1665,5,160,2024-01-30
1665,14,100,2024-01-30
1665,17,100,2024-01-30
1665,7,80,2024-01-30
3010,19,180,2024-11-02
3010,11,40,2024-11-02
3010,11,20,2024-11-02
4900,13,100,2024-05-08
4900,6,180,2024-05-08
4900,17,60,2024-05-08
1660,3,200,2025-02-19
1660,14,40,2025-02-19
1660,8,20,2025-02-19
1660,18,180,2025-02-19
3579,7,160,2024-04-03
3579,2,100,2024-04-03
3579,2,80,2024-04-03
3579,14,80,2024-04-03
3714,14,60,2025-09-19
3714,11,20,2025-09-19
3714,20,120,2025-09-19
3714,8,120,2025-09-19
36,17,140,2025-06-22
36,8,180,2025-06-22
36,5,100,2025-06-22
36,8,200,2025-06-22
36,12,20,2025-06-22
4513,9,40,2025-06-26
4513,2,180,2025-06-26
4513,1,20,2025-06-26
611,15,80,2024-08-10
611,4,80,2024-08-10
611,15,40,2024-08-10
611,9,120,2024-08-10
3676,3,80,2024-03-18
1208,17,60,2024-08-05
1208,16,140,2024-08-05
1208,10,100,2024-08-05
1997,7,60,2024-09-17
1997,10,100,2024-09-17
1997,9,140,2024-09-17
2983,3,20,2025-04-26
4034,14,160,2024-12-22
4034,15,80,2024-12-22
901,5,60,2024-03-02
901,19,180,2024-03-02
901,1,120,2024-03-02
901,15,60,2024-03-02
349,2,120,2024-10-24
349,11,180,2024-10-24
349,8,160,2024-10-24
349,15,180,2024-10-24
429,9,20,2025-06-10
429,13,100,2025-06-10
429,1,160,2025-06-10
429,11,80,2025-06-10
4619,7,100,2025-09-21
4619,15,80,2025-09-21
4619,16,140,2025-09-21
2695,9,180,2024-10-02
1045,18,60,2024-12-29
4144,19,180,2023-12-06
4144,12,60,2023-12-06
4144,12,200,2023-12-06
4144,15,160,2023-12-06
16,3,200,2025-07-14
16,12,120,2025-07-14
16,19,100,2025-07-14
4236,8,120,2025-03-22
4236,19,60,2025-03-22
4236,19,100,2025-03-22
4236,2,60,2025-03-22
4236,18,40,2025-03-22
1156,2,200,2025-10-10
1156,10,100,2025-10-10
1156,13,60,2025-10-10
4836,1,200,2025-04-16
391,18,20,2024-01-13
391,3,20,2024-01-13
738,12,20,2025-02-03
3330,1,180,2023-10-16
3330,1,40,2023-10-16
3330,8,80,2023-10-16
1385,2,120,2024-11-07
1385,12,160,2024-11-07
2740,2,160,2024-01-30
2740,17,200,2024-01-30
2740,9,180,2024-01-30
2740,7,140,2024-01-30
2740,3,40,2024-01-30
1868,3,60,2024-05-12
424,5,160,2023-12-08
424,10,20,2023-12-08
424,18,80,2023-12-08
424,12,40,2023-12-08
1314,9,100,2025-04-25
1314,1,120,2025-04-25
1314,20,80,2025-04-25
1314,12,200,2025-04-25
1314,11,120,2025-04-25
4061,2,180,2023-10-21
4061,1,60,2023-10-21
4061,12,60,2023-10-21
1823,8,180,2023-10-26
1823,14,160,2023-10-26
1823,12,140,2023-10-26
2221,19,60,2025-02-28
2221,12,80,2025-02-28
2169,10,120,2024-09-16
2169,8,120,2024-09-16
2169,16,80,2024-09-16
2169,17,200,2024-09-16
2169,1,40,2024-09-16
2318,2,40,2025-08-24
2318,6,140,2025-08-24
2318,3,80,2025-08-24
2318,18,140,2025-08-24
2318,7,100,2025-08-24
2056,18,160,2025-03-19
1154,11,200,2025-07-08
1154,5,40,2025-07-08
1154,7,200,2025-07-08
1154,14,160,2025-07-08
4273,19,140,2023-10-18
4273,16,100,2023-10-18
4273,1,140,2023-10-18
4273,17,120,2023-10-18
3141,19,100,2025-01-05
3141,17,100,2025-01-05
381,1,120,2024-11-04
381,15,180,2024-11-04
381,9,180,2024-11-04
3292,20,100,2024-07-28
3292,20,180,2024-07-28
4789,13,40,2024-11-30
